PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Difficulty
PAEhX,5k1r/1pq2pbn/p2r2pp/P1pPp3/B1P2PPN/7P/1P1Q4/2KRR3 b - - 0 26,e5f4 e1e8,1396,79,89,1267,mate mateIn1 middlegame oneMove operaMate,https://lichess.org/XTnW5UQb/black#52,,1
WzsqC,r3kb1r/ppp1qppp/5n2/3b4/3n4/3P2P1/PPPBNP1P/RN1QKBR1 w Qkq - 3 9,b1c3 d4f3,1348,75,98,1573,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/anaRlwRf#17,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,1
cHYY9,rn1qkb1r/p3pppp/2p2n2/4N3/1p4b1/1B2P3/PP1PNPPP/R1BQK2R b KQkq - 3 8,g4e2 b3f7,1334,77,68,141,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/bLahD3Tr/black#16,English_Opening English_Opening_Caro-Kann_Defensive_System,1
HEV6J,2k3r1/2pr1p2/p5qb/1p2Np1p/3P4/1P2PQ1P/P2n1PPB/2R2RK1 w - - 2 22,f3e2 g6g2,1371,76,88,167,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/cP8gtzpv#43,,1
hC9Sv,4r1k1/1p3ppp/1p6/3P4/2PQ4/2PBp1PR/r4q1P/R6K w - - 0 27,a1f1 f2g2,1301,76,100,1189,mate mateIn1 middlegame oneMove,https://lichess.org/VhXv1ZFL#53,,1
FU0dw,8/8/pp2pn1k/2p2rRp/5P1R/Pr2B3/4K2P/8 b - - 1 43,f6g4 h4h5,1306,77,78,456,blindSwineMate endgame master mate mateIn1 oneMove,https://lichess.org/kvpmTAcN/black#86,,1
Tmfy5,B5k1/5pp1/1P2b3/4p3/K1qp4/QR6/8/8 w - - 1 41,b3b4 c4a6,1414,78,92,7103,endgame mate mateIn1 oneMove,https://lichess.org/9qmSyjAF#81,,1
rJVlr,2KQ4/2P2pk1/q6p/6p1/8/6PP/8/8 w - - 18 57,c8d7 a6e6,1410,78,70,407,dovetailMate endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/S0VMIY8t#113,,1
PQuhI,6k1/5p2/4p2p/1p1p1p1P/1P1P1P2/2P1Q2K/6P1/3q4 w - - 6 37,h3h4 d1g4,1332,74,86,279,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/dyrGf4pD#73,,1
Of0F2,7r/p1p2ppp/2NRk3/P3Pb2/8/1r6/1P4PP/3R2K1 b - - 1 30,c7d6 d1d6,1405,75,93,548,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/DD6sT6Iv/black#60,,1
PnUH5,3r4/6kp/5pp1/3NK3/2r5/2P3P1/P4P1P/3R4 w - - 0 31,e5e6 c4e4,1206,79,67,150,endgame mate mateIn1 oneMove,https://lichess.org/a3p9Yh0A#61,,2
XdZOw,3qb1r1/7k/2p1Q1pp/4Rp1P/1B6/P3P3/5PP1/2Rr2K1 w - - 1 32,g1h2 d8h4,1190,78,87,450,mate mateIn1 middlegame oneMove,https://lichess.org/GNpmLC21#63,,2
cezr9,r1bq1r1k/1ppn2p1/1b1p1p2/pP2p1Np/P1B1PP1P/B1PP4/3N1P2/R2Q1RK1 b - - 0 16,f6g5 d1h5,1287,76,87,196,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/IxrQeUbu/black#32,Italian_Game Italian_Game_Classical_Variation,2
HgbMP,r1b5/pp2k1pp/6r1/4BN2/2B5/8/PPn3PP/3R3K b - - 0 23,e7f8 d1d8,1227,75,80,324,mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/5nZugtGZ/black#46,,2
hM2xK,2kr3r/1pp2p2/p3p3/8/4b3/1P1Pb2P/P1P3P1/R2Q1R1K w - - 0 20,d1e2 h8h3,1197,75,94,1924,kingsideAttack mate mateIn1 middlegame oneMove pillsburysMate pin,https://lichess.org/ZmMaHayi#39,,2
FxwwU,3r1r1k/pbpBb1pp/5nq1/2p1pp2/1P6/P1N1PN2/1B3PPP/R2Q1RK1 w - - 1 18,f3e5 g6g2,1209,77,88,272,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/zk3Y5hFf#35,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations,2
UKS9W,r1N1qb1k/7r/P2p2n1/1N1Pp3/4Pp1p/5Pn1/4BB1P/R2Q2RK w - - 1 29,h1g2 h4h3,1209,75,99,2404,mate mateIn1 middlegame oneMove,https://lichess.org/Rafzd1HK#57,,2
rN2Qh,r5kr/1b3p1p/p3pN2/6PQ/1b1p3P/3P4/PPq2P1R/1R3K2 b - - 7 26,g8g7 h5h6,1184,75,100,426,mate mateIn1 middlegame oneMove,https://lichess.org/SBjiwMo4/black#52,,2
Q4GTC,r1b1rNk1/pp4pQ/2pq1p2/8/1P5P/8/PB5P/6RK b - - 3 29,g8f8 h7g7,1229,76,98,1547,mate mateIn1 middlegame oneMove,https://lichess.org/hw2yGDRK/black#58,,2
PEE28,6r1/p4p1k/1p2rp1p/8/4q3/7R/P2Q2PP/3R3K b - - 1 29,e4e2 d2h6,1172,76,96,1036,endgame mate mateIn1 oneMove,https://lichess.org/vDWz61Zc/black#58,,2
PZhSs,8/3qkp2/6p1/ppQ5/5P1P/P7/6P1/7K b - - 1 38,e7f6 c5e5,1428,79,94,4388,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/an3drGtx/black#76,,3
XD7A5,1r2k1n1/2pqbp1r/3p2B1/1p1P2P1/1p1B3P/8/PPP2Q2/4RRK1 b - - 0 26,f7g6 f2f8,1492,80,93,5937,mate mateIn1 middlegame oneMove pin,https://lichess.org/ygtF2ad1/black#52,,3
cgJLq,8/R7/5Rpk/7p/7P/1p2P1PK/8/3q4 w - - 2 45,f6f7 d1h1,1437,78,64,112,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/qswEwlP3#89,,3
HE9nD,6rk/2r2qp1/5nR1/4Q2P/3pB3/Pp3P2/1P6/1K4R1 b - - 0 38,f6e4 g6h6,1477,75,82,329,master mate mateIn1 middlegame oneMove pin,https://lichess.org/HkZOotJw/black#76,,3
hE9Tv,5r2/1p5R/p4k2/3BNp1P/3p1P2/b7/4PK2/3q4 b - - 0 31,d4d3 e5d7,1497,80,94,1469,endgame mate mateIn1 oneMove,https://lichess.org/brLBzMIx/black#62,,3
FV07h,3rr1k1/pp3ppp/1q6/5b2/1P3Pn1/2N2NP1/1PPBP1BP/2RQK1bR w K - 1 15,h1g1 b6f2,1441,76,96,3600,mate mateIn1 middlegame oneMove,https://lichess.org/486ns3HR#29,Englund_Gambit Englund_Gambit_Other_variations,3
Tr9ug,5r2/1p6/8/4R2k/4Q1p1/2P5/8/q1q1B1K1 b - - 3 54,c1g5 e4h7,1460,77,75,957,endgame master mate mateIn1 oneMove pin,https://lichess.org/NCH05BsK/black#108,,3
rFAdX,r1b1k2r/ppp2pp1/2p5/2b1P3/5qp1/2N5/PPPPQPPP/R1B2RK1 w kq - 2 11,d2d4 f4h2,1471,77,90,1039,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kBlFYJl8#21,Petrovs_Defense Petrovs_Defense_Stafford_Gambit,3
PmE5z,r1b1k2r/ppp2pp1/2p5/2b1N3/3P4/2P2Bp1/PP3P1q/R1BQR1K1 w kq - 0 17,g1f1 h2f2,1491,79,89,1903,mate mateIn1 oneMove opening,https://lichess.org/birZVli1#33,Russian_Game Russian_Game_Stafford_Gambit,3
P6Mpj,7k/7p/8/1pQ5/p7/P7/1q4PK/8 b - - 1 40,b5b4 c5f8,1471,76,90,606,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/tj190wF5/black#80,,3
QbpNh,7r/Bp4p1/b3p2p/2p5/N1k1n3/3pK3/5PPP/1R6 b - - 1 29,e4c3 a4b6,1958,78,95,7521,endgame mate mateIn1 oneMove,https://lichess.org/sdYMc4Tc/black#58,,4
Y0GkG,Q6R/p4kpp/q4n2/2bp4/1K6/8/P7/R7 w - - 0 32,b4c5 a6b6,1969,75,95,3438,endgame mate mateIn1 oneMove,https://lichess.org/69Avg49V#63,,4
cBtlj,1k5r/p1p1qQ2/2p5/2b5/4n3/2P3Pr/PP1N2K1/R1B2R2 w - - 0 20,f7e7 h3g3,1942,78,92,1000,mate mateIn1 middlegame oneMove,https://lichess.org/Uj7tQxyW#39,,4
ITf71,3r1k2/7R/1N3NP1/p1pp1n2/1p1p4/P4K2/1Pr5/8 b - - 1 42,d4d3 h7f7,1993,76,92,4518,endgame master mate mateIn1 oneMove vukovicMate,https://lichess.org/9t0sKeJI/black#84,,4
gL1hD,r5k1/2q2N1p/3pPQp1/5p2/8/2p2N1P/5PP1/b5K1 b - - 0 35,c3c2 f7h6,1930,80,93,3968,endgame mate mateIn1 oneMove,https://lichess.org/0gHROl9b/black#70,,4
